產業別,名稱,公司代號,ROE,EPS,FCF,毛利率,營業利益率,純益率,現金殖利率,高登,總資產周轉率,盈餘成長率,營收年成長率,PBR,PER,每股淨值,權益乘數,股本億元,平均價,股價標準差,股價變異數
水泥,台泥,1101,0.031960873,1.083333333,-1.129033704,0.161217044,0.070910308,0.068631325,0.023497226,0.03032944,0.259475872,0.006832214,14.76666667,0.804932675,22.69655172,40.88540698,1.891840465,753.1,29.17377049,4.446412588,19.7705849
水泥,亞泥,1102,0.06292907,3.59,1.604991308,0.131622911,0.094799672,0.139700521,0.051418896,0.075209126,0.257218493,0.02379023,-5.36,0.699461074,11.11398964,61.33293413,1.685220662,334,42.26967213,3.069255867,9.420331579
水泥,嘉泥,1103,0.006063217,0.106666667,0.135062507,0.110140556,-0.09232982,0.019658903,0.024235902,0.014282047,0.07405639,-0.004545526,11.11,0.547284391,37.35416667,32.76176024,1.625622032,65.9,15.7420082,1.620885949,2.627271259
水泥,環泥,1104,0.08601351,2.803333333,2.65700673,0.197380313,0.125639413,0.260881472,0.063403187,0.09728127,0.273498081,0.033878083,9.526666667,0.879537537,14.49537037,35.59825328,1.22667289,68.7,29.0807377,1.241082541,1.540285873
水泥,幸福,1108,0.107872452,1.32,0.319341564,0.200943924,0.140925578,0.119983669,0.062575892,0.100347108,0.488297213,0.037771216,9.47,1.223746626,12.8442623,12.80493827,1.988983133,40.5,14.70942623,0.468968396,0.219931357
水泥,信大,1109,0.052381098,1.52,1.94471026,0.20765169,0.146805985,0.08412449,0.053215006,0.072120464,0.500548679,0.018905459,-13.67666667,0.623372868,13.51449275,29.91788856,1.131184074,34.1,17.20532787,0.942848485,0.888963267
水泥,東泥,1110,0.023808697,0.376666667,0.04502924,0.113065496,0.04187219,0.096938787,0.010178539,0.021121821,0.193817663,0.010943282,16.84666667,1.229855739,33.83606557,16.78245614,1.320208703,57,19.48934426,1.547482085,2.394700803
食品,味全,1201,0.043156012,0.623333333,1.251646904,0.273049555,0.018877761,0.014901791,0.017426156,0.037108175,1.215123049,0.019682019,5.866666667,1.209061288,21.24137931,15.28458498,2.372487688,50.6,16.96905738,1.071639418,1.148411042
食品,味王,1203,0.080641982,2.263333333,2.330532213,0.30500059,0.144979883,0.085901038,0.028266103,0.067647839,0.6352039,0.039381736,2.45,1.593487727,20.45762712,30.29831933,1.459314392,23.8,40.1102459,4.823736486,23.26843368
食品,大成,1210,0.105958973,3.87,2.660878133,0.126316834,0.044371382,0.02989767,0.041381921,0.086144048,1.722012958,0.044762127,0.926666667,1.342312505,13.11876485,41.1454112,2.043821038,83.9,56.13852459,4.540760922,20.61850975
食品,大飲,1213,0.347060894,1.64,3.900584795,-0.342403882,-0.596210219,0.811845248,0.01208981,0.231158994,0.242254602,0.219069184,-7.02,0.763958333,1.107921929,12.63157895,1.705385428,5.7,12.87459016,2.843118513,8.083322877
食品,卜蜂,1215,0.194346157,6.51,0.855367232,0.156615458,0.083865776,0.067822817,0.049660456,0.107311609,1.078979322,0.057651153,4.38,2.668732027,15.36946565,37.7220339,2.662014052,29.5,108.5663934,14.61223407,213.5173845
食品,統一,1216,0.096274295,3.296666667,5.080781415,0.323254129,0.052004221,0.033643345,0.042073483,0.048804004,0.965312035,0.006730521,11.57333333,2.197473547,22.26098901,36.87416403,3.399352166,568.2,81.48606557,3.687735553,13.59939351
食品,愛之味,1217,0.033349483,0.516666667,0.484175084,0.290631673,0.030030367,0.052399938,0.029350143,0.040918801,0.351660097,0.011568658,2.786666667,0.716564638,20.79310345,16.83030303,1.81755269,49.5,11.39262295,0.573530404,0.328937125
食品,泰山,1218,0.221580602,4.51,2.682441701,0.148538668,0.005609714,0.20790321,0.027120523,0.179000862,0.76857126,0.151880339,2.456666667,0.800519663,13.79738562,26.37037037,1.13746988,48.6,20.10081967,1.028462907,1.057735951
食品,福壽,1219,0.060283889,0.823333333,-0.162809655,0.090415977,0.015978394,0.016956712,0.025559217,0.049016744,1.588128168,0.023457527,-0.346666667,1.330173273,33.98113208,13.53958944,2.190388371,34.1,15.02377049,1.216775965,1.48054375
食品,台榮,1220,0.050485197,0.733333333,0.428030303,0.12688378,0.046473909,0.037888656,0.027775853,0.048044966,1.053947384,0.020269113,2.966666667,1.040420105,13.3559322,15.14772727,1.283461538,17.6,15.17377049,1.745519993,3.046840046
