產業別,名稱,公司代號,ROE,EPS,FCF,毛利率,營業利益率,純益率,現金殖利率,高登,總資產周轉率,盈餘成長率,營收年成長率,PBR,PER,每股淨值,權益乘數,股本億元,平均價,股價標準差,股價變異數
光電,中環,2323,0.032694392,0.13,-0.445813743,0.211814289,-0.055982145,0.020531594,0.029543901,0.039107789,0.304695641,0.017904172,-5.226666667,0.724750777,0,16.543618,1.401319361,108.9,9.48307377,1.432694366,2.052613147
光電,錸德,2349,0.001577314,-0.196666667,-0.309798271,0.168900183,-0.036170564,-0.017567801,0,0.001623994,0.399401201,0.001623994,-1.3,0.863992951,171.5714286,13.90057637,1.807853008,69.4,12.2204918,2.006643432,4.026617864
光電,佳能,2374,0.046337392,1.113333333,0.839576701,0.25869275,0.026309305,0.060842897,0.024498765,0.042691481,0.596686788,0.018192716,22.16666667,1.710691576,23.08947368,25.6445993,1.364177412,28.7,58.54077869,13.20014212,174.2437521
光電,億光,2393,0.097393385,4.246666667,5.408577878,0.291790798,0.097227968,0.094841618,0.068883432,0.081488485,0.711964295,0.012605053,-4.41,1.483560668,10.47891566,46.9006772,1.408688859,44.3,76.5102459,6.821077352,46.52709624
光電,國碩,2406,0,-0.766666667,-4.855650522,0.051288467,-0.141610006,-0.04708518,0,0,0.385230706,0,5.73,0.815404451,0,24.1965812,1.76963651,35.1,15.52172131,3.785879046,14.33288015
光電,友達,2409,0,-1.72,-1.230220895,0.037118339,-0.071968174,-0.05117694,0.038085132,0,0.657963744,0,-6.64,0.827880806,0,20.83633281,2.387776004,766.8,13.95942623,1.570737186,2.467215307
光電,鼎元,2426,0.005426357,-0.276666667,0.640088594,0.131680735,-0.023717901,-0.031494963,0.005303841,0.004511333,0.432396298,0.002850479,-8.07,1.565449598,95.57142857,12.82059801,1.332170543,30.1,19.17459016,3.231266018,10.44108008
光電,翔耀,2438,0,-1.026666667,-2.528927203,0.049248784,-0.31873296,-0.274666926,0,0,0.198118951,0,43.33666667,3.047967258,0,12.63793103,2.103351955,5.8,32.3192623,6.150624602,37.83018299
光電,冠西電,2466,0.025852799,0.223333333,-0.333333333,0.171693714,-0.069484339,0.026065229,0.001874322,0.020930508,0.276762818,0.019056186,-5.21,3.226725798,0,11.5380117,2.24695201,17.1,70.9920082,20.88989772,436.3878268
光電,一詮,2486,0.024977815,0.49,-3.019472756,0.131024483,0.010179255,0.020393172,0.011734086,0.011194949,0.624153769,-0.000539136,-2.443333333,3.928406981,1160,23.62280702,1.925683284,22.8,94.27745902,18.02181646,324.7858684
光電,瑞軒,2489,0.042215018,-0.356666667,1.475851365,0.092187805,-0.001888272,-0.016990301,0.024401748,0.047221804,0.882962035,0.022820056,5.093333333,0.941152116,10.24444444,19.59300699,1.510860469,71.5,16.51218487,2.945385194,8.67529394
光電,吉祥全,2491,0.009910272,-1.55,1.06097561,0.745239718,0.316305123,-2.559390535,0,0.009757384,0.049682615,0.009757384,6.246666667,0.94996732,0,14.92682927,1.157154341,8.2,12.22877049,1.529803278,2.340298071
光電,大立光,3008,0.137270876,165.94,142.7944862,0.519890912,0.39878222,0.442560459,0.037752032,0.102959221,0.27031736,0.065207188,8.56,1.823272542,13.08878818,1393.894737,1.173175681,13.3,2416.82377,180.6670701,32640.59021
光電,亞光,3019,0.07122727,3.953333333,7.904743683,0.187162462,0.065915453,0.055770005,0.033304583,0.057948721,0.911672106,0.024644139,4.563333333,1.450599873,15.52331606,61.96057348,1.454740775,27.9,143.932377,26.18548385,685.6795647
光電,憶聲,3024,0.044674968,0.46,0.688327316,0.258201722,0.067807753,0.074912245,0.014599225,0.035772236,0.384103673,0.021173011,21.00666667,1.795302831,29.83333333,10.96750903,1.675042735,27.7,16.09897541,2.619460444,6.86157302
光電,佰鴻,3031,0.062958421,1.1,0.892100193,0.264609603,0.073802328,0.144291883,0.046660988,0.059080254,0.354577925,0.012419265,-7.533333333,1.170294118,18.99082569,17.68786127,1.174176634,17.3,20.29918033,2.230802727,4.976480807
光電,全台,3038,0.160790327,2.616666667,2.192393736,0.218397001,0.082912334,0.089593174,0.061304842,0.123209925,1.039765264,0.061905083,-4.05,1.625005525,13.39819005,18.22147651,1.520306944,14.9,24.65778689,2.510779399,6.304013189
光電,和鑫,3049,0.000781409,-0.73,0.168793903,-0.337984142,-0.493711532,-0.36701469,0,0.000802749,0.117591504,0.000802749,-23.61333333,0.91990226,0,10.2184769,1.525688334,80.1,8.067090164,1.924323658,3.703021539
光電,鈺德,3050,0.031551766,0.586666667,1.083526063,0.361822007,0.077719925,0.077361172,0.028344932,0.032953396,0.225636238,0.004608464,7.383333333,1.079938755,37.47272727,19.08441558,1.875796178,15.4,15.40983607,2.490881637,6.204491331
光電,力特,3051,0.134464424,1.886666667,2.999072509,0.295471471,0.134389546,0.129231823,0.04818844,0.092420192,0.519019262,0.044231751,-15.16,2.148505214,16.47263682,15.41071429,1.66653426,16.8,28.6807377,3.637965372,13.23479205
光電,華晶科,3059,0.039931621,1.363333333,1.328400841,0.255841435,0.038835186,0.036309214,0.024496069,0.038205507,0.622736889,0.013709437,-0.553333333,0.963455458,31.94782609,38.13357401,1.66229808,27.7,39.98053279,6.845972963,46.86734581
光電,李洲,3066,0.096052861,0.936666667,-0.036144578,0.018697614,-0.506998541,0.238697085,0,0.088788817,0.142710717,0.088788817,-18.97333333,1.624751603,18.79230769,15.03614458,1.409648752,8.3,20.43094262,5.080123003,25.80764973
光電,昇銳,3128,0.09451171,1.463333333,-1.25203252,0.302495064,0.071345031,0.059185134,0.025247636,0.070408978,0.8223637,0.045161343,6.25,1.76693314,17.5443787,16.7804878,2.141150112,4.1,31.62336066,6.153555245,37.86624216
光電,正達,3149,0,-1.24,-0.616127464,-0.001740291,-0.134677337,-0.100054246,0,0,0.493623285,0,-4.72,2.46038736,0,11.81927711,2.637319712,16.6,34.45655738,4.100072522,16.81059468
光電,眾福科,3168,0.104096615,3.475,6.797006102,0.243816758,0.098378186,0.066029411,0.0534267,0.05044071,1.081873449,0.005489062,-12.71,1.557233429,19.41296928,36.52631579,1.382711198,7.6,48.10389344,2.717364374,7.384069141
光電,錦明,3230,0.111300398,-0.173333333,2.426925187,0.031887476,-0.227565172,0.056330606,0.004053501,0.080441502,0.462015023,0.076388001,-31.19333333,1.913433476,7.558746736,15.12987013,1.513344691,7.7,48.77848361,9.687678216,93.85110921
光電,杭特,3297,0.002308802,-0.13,-1.490740741,0.275622107,-0.209882391,-0.02721438,0,0.002294894,0.223497446,0.002294894,-11.08333333,1.497446809,0,15.66666667,1.406360424,3.6,36.39754098,16.57439377,274.7105289
光電,泰谷,3339,0.016095905,0.04,0.673076923,0.083143674,-0.071779978,0.008721676,0,0.014921082,0.528750715,0.014921082,-7.443333333,2.500688913,149.88,14.98387097,1.40436457,6.2,35.8477459,3.726275438,13.88512864
光電,奇偶,3356,0.163252228,3.863333333,4.378033206,0.47385762,0.106971796,0.271123441,0.058965086,0.099780224,0.509384182,0.040815138,-1.186666667,2.198917526,8.172222222,26.75862069,1.198307411,8.7,54.50840336,4.751383628,22.57564639
光電,先進光,3362,0.131693423,2.85,-6.992349782,0.251806028,0.095555296,0.104104368,0.009045989,0.086066246,0.527863577,0.077020257,5.33,8.086160827,84.60674157,27.93661972,2.378344998,14.2,164.7889344,44.42378595,1973.472758
光電,玉晶光,3406,0.172453329,31.55333333,33.61061947,0.367427952,0.199698286,0.175055617,0.032536933,0.123143135,0.549303938,0.090606202,11.48666667,2.21514678,12.6589309,219.159292,1.850875472,11.3,434.1086066,37.00588719,1369.435687
光電,哲固,3434,0.112907702,1.3,-0.152557319,0.182606748,0.042973883,0.047336227,0.012095613,0.09090696,1.281776511,0.078811347,-2.07,2.352485549,17.40718563,12.35714286,1.842835131,2.8,39.34467213,12.78195231,163.3783048
光電,榮創,3437,0,-0.873333333,-0.429885057,0.166446888,-0.092585871,-0.051623285,0,0,0.618497279,0,-19.99666667,1.53443323,0,17.76551724,1.292909725,14.5,18.8920082,4.076211686,16.61550171
光電,聯一光,3441,0.078474493,1.476666667,3.058333333,0.340406935,0.097868513,0.153428335,0.024605402,0.052593863,0.345728638,0.027988461,-8.51,1.824724602,26.62142857,20.425,1.274121406,4,34.78668033,3.496493959,12.22547
光電,晶睿,3454,0.143972449,5.726666667,6.38697318,0.278445784,0.054825863,0.059414139,0.029246366,0.073901768,1.371497068,0.044655402,18.19666667,3.215677919,39.05847953,41.54022989,1.760658915,8.7,115.6221311,15.56781798,242.3569568
光電,由田,3455,0.172863916,7.696666667,4.494444444,0.562145757,0.176048293,0.179998395,0.067293062,0.103451784,0.509455159,0.036158722,-10.00666667,2.416191904,20.3100189,44.46666667,1.654576207,6,105.4721311,16.21154272,262.8141173
光電,群創,3481,0.009331944,-1.336666667,2.619750392,0.016424906,-0.088824895,-0.050985456,0.022237047,0.019319493,0.56733398,-0.002917554,-13.04666667,0.548980564,19.72368421,27.30515609,1.547529767,855.3,13.97028689,1.475774303,2.177909794
光電,單井,3490,0.067628018,1.57,1.061669325,0.268805976,0.022518745,0.21176675,0.042736035,0.059915594,0.23731919,0.017179559,-17.62333333,1.355072464,19.45783133,23.83636364,1.267981439,5.5,26.77991803,5.233831304,27.39299012
光電,揚明光,3504,0.006670772,-1.373333333,1.912280702,0.131816531,-0.067763218,-0.049800671,0,0.006541868,0.653872567,0.006541868,-15.88,2.392782918,0,24.64912281,1.576472615,11.4,55.23934426,7.297089813,53.24751973
光電,亞帝歐,3516,0.021317727,0.58,-3.535659966,0.150440728,-0.021286143,0.028932308,0.007926048,0.023032511,0.452541193,0.015106462,4.923333333,0.806877663,68.19444444,30.42592593,1.659498208,5.4,22.2942623,3.072888192,9.44264184
光電,御頂,3522,0,-2.266666667,1.077671582,0.461650821,-0.220693115,-0.185674123,0,0,0.377015191,0,14.01666667,2.774228296,0,7.493975904,3.270408163,8.3,18.7704918,4.455944631,19.85544256
光電,迎輝,3523,0,-2.31,-2.536586342,-0.163432138,-0.815443363,-0.783748541,0,0,0.112367233,0,-9.063333333,2.385900383,0,8.15625,3.28202765,6.4,18.88217213,5.714538152,32.65594629
光電,先益,3531,0.074327822,2.266666667,5.830601093,0.157167246,0.027390662,0.066716412,0.057757399,0.082450207,0.730707841,0.024692807,-7.493333333,0.971351775,22.6,31.40983607,1.337696335,6.1,23.78217213,6.851969453,46.94948539
光電,晶彩科,3535,0.102175424,1.283333333,-1.202531646,0.443958134,0.05018177,0.086248586,0.017563664,0.077743798,0.444111591,0.060180133,-5.07,2.959775862,62.98550725,14.6835443,1.459566947,7.9,51.63114754,13.51807862,182.7384497
