產業別,名稱,公司代號,ROE,EPS,FCF,毛利率,營業利益率,純益率,現金殖利率,高登,總資產周轉率,盈餘成長率,營收年成長率,PBR,PER,每股淨值,權益乘數,股本億元,平均價,股價標準差,股價變異數
其他電子,光洋科,1785,0.110325689,2.463333333,-0.715660191,0.127680022,0.065866541,0.055354497,0.03487724,0.07389188,0.958469312,0.03901464,0.443333333,2.303740463,17.26168224,24.05218855,2.119687294,59.4,58.63831967,4.634547408,21.47902968
其他電子,金寶,2312,0.035663219,0.77,1.573625322,0.061019204,0.020275408,0.006953136,0.023712332,0.040167376,1.427170704,0.016455043,7.006666667,0.805341704,18.37837838,25.33086253,3.238211405,148.4,22.55471311,3.659354145,13.39087276
其他電子,鴻海,2317,0.086424014,10.49,5.724183979,0.061953261,0.027497638,0.022698387,0.045441302,0.085482262,1.606840502,0.040040961,4.946666667,1.273290181,15.43415077,133.4574023,2.355761664,1387.4,179.3032787,27.47232482,754.7286312
其他電子,鴻準,2354,0.038006604,2.853333333,-10.30339463,0.07216529,0.023979756,0.047725117,0.026108864,0.044206651,0.527477616,0.018097787,-9.63,0.844776596,26.02371542,77.93776521,1.397452685,141.4,70.26270492,8.900111114,79.21197784
其他電子,所羅門,2359,0.069976241,2.206666667,1.916179337,0.220634498,0.023553302,0.083255415,0.038650009,0.063950163,0.499554214,0.025300155,-0.87,3.324483035,144.6071429,36.5380117,1.586678985,17.1,143.0143443,11.10253369,123.2662543
其他電子,致茂,2360,0.216310108,11.36,8.793349169,0.560207701,0.244104503,0.2380798,0.034456917,0.098017991,0.620559968,0.063561074,8.6,5.17970609,25.06965572,60.45130641,1.475806283,42.1,401.8278689,89.16771709,7950.881772
其他電子,震旦行,2373,0.126807635,4.98,6.348148148,0.448702507,0.08653904,0.091572934,0.053422342,0.074163192,0.651244055,0.020740851,-5.913333333,1.804173264,16.64319249,39.29777778,2.04991453,22.5,62.35942623,3.760838012,14.14390255
其他電子,云辰,2390,0,-1.926666667,-0.767666102,0.234982276,-0.035638647,-0.650495489,0,0,0.200739974,0,5.94,1.102034115,0,12.15025907,1.195890968,19.3,11.58155738,1.110900736,1.234100445
其他電子,漢唐,2404,0.41631269,26.33666667,25.69148936,0.14274446,0.115103185,0.098104839,0.086514467,0.163391175,1.475673651,0.076876708,33.33,4.4880423,10.82817243,79.47340426,3.401388381,18.8,583.3032787,234.3043557,54898.5311
其他電子,固緯,2423,0.148364499,2.716666667,2.413793103,0.510798305,0.160935329,0.137533517,0.062431294,0.097222638,0.768789155,0.034791344,2.556666667,2.115463918,16.95867769,19.4,1.324572457,14.5,45.14221311,4.690400496,21.99985681
其他電子,互盛電,2433,0.110730005,3.516666667,3.469907407,0.340082863,0.152919505,0.162268979,0.063074673,0.073280663,0.38211143,0.01020599,-10.59333333,1.739789474,15.74695122,29.6875,1.71248438,14.4,50.08360656,0.667759679,0.445902989
其他電子,光群雷,2461,0.05195774,1.356666667,-0.783600615,0.205946006,0.000994221,0.036341396,0.05350594,0.062062529,0.731186222,0.008556589,-3.393333333,0.958514851,14.49685535,24.04761905,1.929757658,16.8,18.54282787,2.107755568,4.442633534
其他電子,盟立,2464,0.060944451,1.346666667,-3.288951621,0.17687869,0.013585562,0.02680883,0.02136521,0.042002797,0.725359959,0.020637587,-7.94,2.424586509,124.2115385,26.63959391,2.592264728,19.7,69.41536885,9.261610413,85.77742744
其他電子,可成,2474,0.069035675,15.95666667,26.09922344,0.305360013,0.150276722,0.481746185,0.062930366,0.080119359,0.086771817,0.017188993,-22.42666667,0.891690161,11.1242268,242.0235294,1.519280078,68,205.9713115,14.71649772,216.5753053
其他電子,美隆電,2477,0.027345815,0.746666667,-0.216874629,0.178496342,-0.011833967,0.044707516,0.036621837,0.031504717,0.344240467,-0.00511712,-9.08,0.848089888,16.77333333,29.66666667,1.78101055,15.9,25.6647541,4.341166655,18.84572792
其他電子,連宇,2482,0.139806848,2.063333333,2.426426426,0.431079478,0.091152311,0.137169349,0.036535695,0.099489668,0.736121467,0.062953974,2.626666667,2.015971676,40.55555556,16.29487179,1.22835249,7.8,22.69815574,4.297143117,18.46543897
其他電子,漢平,2488,0.148919085,4.496666667,0.916666667,0.238882158,0.127273699,0.128689355,0.079279515,0.13187264,0.809838787,0.052593124,10.99333333,1.392462495,9.078244275,34.1625,1.409300538,8,50.21106557,4.716763783,22.24786059
其他電子,普安,2495,0.082332602,1.293333333,-0.659367397,0.502861844,0.138444711,0.259113636,0.037998957,0.063928624,0.217997521,0.025929666,4.286666667,1.682062123,12.81981982,16.91970803,1.547046199,27.4,27.31045082,5.418585928,29.36107346
