產業別,名稱,公司代號,ROE,EPS,FCF,毛利率,營業利益率,純益率,現金殖利率,高登,總資產周轉率,盈餘成長率,營收年成長率,PBR,PER,每股淨值,權益乘數,股本億元,平均價,股價標準差,股價變異數
半導體,麗正,2302,0.07144126,0.776666667,1.702811245,0.371611525,0.131833945,0.165601014,0.032164064,0.05173179,0.343905674,0.019567726,1.723333333,1.630130862,24.01333333,11.04819277,1.379501385,16.6,17.82766393,1.89280723,3.582719212
半導體,聯電,2303,0.195432455,5.273333333,2.371645095,0.375424353,0.285509151,0.268540431,0.065125462,0.140304903,0.459225916,0.07517944,5.026666667,1.676529371,13.41578947,30.40805661,1.530825576,1243.7,44.30389344,2.874593406,8.263287248
半導體,華泰,2329,0.147104034,2.13,2.674890065,0.170833816,0.095890166,0.094456796,0.033029781,0.10717058,0.904590072,0.074140798,0.79,2.502057044,30.50292398,20.84684685,1.663587813,55.5,37.78360656,4.187849574,17.53808406
半導體,台積電,2330,0.319013166,38.93,22.07182473,0.566803811,0.45944245,0.456974018,0.021447954,0.208245623,0.468806971,0.186797669,23.99333333,5.332972317,19.65281768,166.7531626,1.565846177,2592.8,1064.545082,107.6125978,11580.47121
半導體,旺宏,2337,0.060200332,0.733333333,-2.18377426,0.307591104,-0.007765327,0.007594311,0.021764532,0.052361029,0.405238354,0.03574053,-18.92333333,1.106582538,0,23.72168285,1.686640088,185.4,21.3977459,2.110849165,4.455684199
半導體,光罩,2338,0.076174508,0.97,-8.536697521,0.238066363,0.098157444,0.028935108,0.016697732,0.033812587,0.396192553,0.017114854,8.466666667,3.424420432,0,19.02803738,4.576142967,21.4,41.82889344,9.968559381,99.37217614
半導體,台亞,2340,0.025216004,0.12,-3.182650143,0.206524001,-0.01286219,0.005456901,0.011496069,0.011840936,0.351247544,0.000344868,-10.10666667,2.106024218,0,18.10045662,1.670461464,43.8,25.82172131,5.237507134,27.43148098
半導體,茂矽,2342,0.08552477,0.996666667,3.085238717,0.179324724,0.019317195,0.075213024,0.019789146,0.055295986,0.493456557,0.03550684,2.286666667,2.061661251,55.74137931,15.68152866,1.4053046,15.7,27.60122951,5.040537168,25.40701494
半導體,華邦電,2344,0.046713747,1.033333333,-3.623677939,0.349368289,0.053132965,0.042447718,0.013269639,0.044327612,0.468031171,0.031057973,-5.636666667,1.017808973,167.5714286,23.04951185,1.846377349,430.2,18.78094262,4.532211591,20.54094191
半導體,順德,2351,0.11248613,4.316666667,5.181318681,0.169074933,0.088845011,0.070121976,0.023326817,0.062897401,0.881790537,0.039570584,-1.04,2.845804799,31.26415094,40.75824176,1.697970416,18.2,87.98442623,17.35145311,301.0729252
