產業別,名稱,公司代號,ROE,EPS,FCF,毛利率,營業利益率,純益率,現金殖利率,高登,總資產周轉率,盈餘成長率,營收年成長率,PBR,PER,每股淨值,權益乘數,股本億元,平均價,股價標準差,股價變異數
通信網路,台揚,2314,0,-3.07,-1.182475062,0.062367379,-0.299505021,-0.24333447,0,0,0.532202669,0,-20.44,9.847813268,0,3.23015873,3.50111276,25.2,19.88864754,11.44269031,130.9351615
通信網路,東訊,2321,0.006289308,-1.01,15.64285714,0.273271834,-0.013818988,-0.017308552,0,0.006315789,0.490260317,0.006315789,-15.82333333,0.481904762,0,31.5,2.972406181,1.4,13.58770492,4.991364194,24.91371652
通信網路,友訊,2332,0.022822811,0.396666667,1.913007867,0.250371671,0.008797091,0.014466142,0.015628037,0.021134046,1.001932488,0.005506009,-2.14,0.99944,320.3333333,19.23076923,1.433668168,59.8,19.24938525,2.762236083,7.62994818
通信網路,智邦,2345,0.411795659,17.37333333,15.83616844,0.216384228,0.128184067,0.117747258,0.025378004,0.188424396,1.696799349,0.163046391,23.24666667,8.293730607,25.05397859,64.9177102,2.324381476,55.9,739.1209016,155.6659751,24231.89582
通信網路,中華電,2412,0.093472517,4.753333333,4.875596236,0.365549266,0.209180977,0.167620008,0.039942629,0.03864407,0.426383743,-0.001298559,2.996666667,2.403061529,25.69375,51.32203171,1.33470238,775.7,128.5163934,4.540596227,20.6170141
通信網路,仲琦,2419,0.028298334,0.453333333,2.37694704,0.209983164,0.039918678,0.01288483,0.024644455,0.020769774,0.924008098,-0.003874682,0.073333333,1.607029719,0,19.70716511,1.664399093,32.1,26.30655738,4.553450059,20.73390744
通信網路,美律,2439,0.115358806,7.41,11.81280213,0.130411939,0.034595439,0.043495522,0.053475373,0.084795984,1.128669624,0.031320611,6.993333333,1.435540041,12.825054,82.72844828,2.195286917,23.2,111.932377,7.098215802,50.38466758
通信網路,兆勁,2444,0.042895442,0.26,1.274509804,0.134997282,0.004779515,0.014488951,0,0.040281974,0.82460209,0.040281974,-6.803333333,1.459122257,0,9.382352941,2.081569437,10.2,13.91659836,2.62872724,6.9102069
通信網路,神腦,2450,0.096881687,2.376666667,1.859173127,0.108773034,0.012412206,0.019604471,0.056406572,0.073635595,3.054860527,0.017229023,1.346666667,1.48766129,20.0972973,24.99224806,1.572749165,25.8,32.15614754,2.18263421,4.763892093
通信網路,全新,2455,0.175801214,3.003333333,3.088288288,0.408163194,0.215461428,0.19047676,0.021991259,0.047233794,0.623044708,0.025242535,-1.356666667,8.555346951,42.41046832,17.99459459,1.431853704,18.5,140.4557377,23.50660374,552.5604196
通信網路,兆赫,2485,0,-0.83,-0.131027254,0.020531841,-0.132384955,-0.06059372,0,0,0.574988527,0,-20.63,1.100965272,0,17.6572327,1.314652999,31.8,13.99446721,2.259606862,5.105823172
通信網路,卓越,2496,0.125117706,5.553333333,6.877192982,0.524123081,0.157678142,0.141255965,0.079018304,0.101070144,0.574897987,0.022051841,8.09,1.5278198,10.2977208,47.31578947,1.593839133,1.9,76.70696721,7.614783692,57.98493068
通信網路,宏達電,2498,0,-4.11,-6.152267449,0.404082144,-1.158901759,-0.795772517,0,0,0.08681183,0,-15.37666667,1.769378383,0,25.75480769,2.075690096,83.2,46.13237705,8.835310569,78.06271284
通信網路,星通,3025,0.186704879,2.543333333,2.877277807,0.64068493,0.209003925,0.276744162,0.060368287,0.06193802,0.507167996,0.001569733,11.17333333,4.507234286,18.80163043,15.35087719,1.377182771,5.7,60.58196721,12.48346489,155.8368957
通信網路,盛達,3027,0.019698069,0.276666667,-1.489419063,0.222832018,-0.002006778,0.023043952,0.006683695,0.013770571,0.492493368,0.007086876,25.77,1.803166599,0,21.55652174,1.5500516,11.5,31.17848361,3.604503664,12.99244666
