產業別,名稱,公司代號,ROE,EPS,FCF,毛利率,營業利益率,純益率,現金殖利率,高登,總資產周轉率,盈餘成長率,營收年成長率,PBR,PER,每股淨值,權益乘數,股本億元,平均價,股價標準差,股價變異數
電子零組件,台翰,1336,0.081831482,1.846666667,-0.463314463,0.172940672,0.082121196,0.058731265,0.025776771,0.079763679,0.936709145,0.053986908,8.41,0.900461775,10.71428571,24.98717949,1.541958042,7.8,21.86372951,3.305184546,10.92424488
電子零組件,首利,1471,0.001536604,-0.433333333,1.14,0.076773228,-0.419256368,-0.225396226,0,0.001521078,0.159768846,0.001521078,-5.616666667,1.461864407,373.75,10.22666667,1.108989134,15,11.71340164,1.725181301,2.976250521
電腦及週邊設備,濱川,1569,0.037068639,-0.096666667,1.468319559,0.10584319,-0.040933822,-0.013246494,0.04112286,0.040404786,0.565899503,0.013490508,-12.33,1.279669093,0,24.97520661,2.046437659,12.1,55.75020492,10.14890018,103.0001749
電子零組件,信錦,1582,0.099039573,5.083333333,7.437109557,0.225864536,0.090039147,0.072853727,0.055106927,0.071216103,0.778800485,0.016109176,-2.376666667,1.710652551,13.54978962,56.47552448,1.669379922,14.3,84.84467213,13.60721533,185.1563089
電子零組件,川寶,1595,0.035437706,1.943333333,-0.414184397,0.269262864,0.008497092,0.045413807,0.029894333,0.042805266,0.292763746,0.016834639,-27.42,0.668172306,0,63.71111111,1.598912058,4.5,43.55286885,10.58151156,111.9683868
其他電子,光洋科,1785,0.110325689,2.463333333,-0.715660191,0.127680022,0.065866541,0.055354497,0.03487724,0.07389188,0.958469312,0.03901464,0.443333333,2.303740463,17.26168224,24.05218855,2.119687294,59.4,58.63831967,4.634547408,21.47902968
電子零組件,富喬,1815,0.004365631,-0.413333333,-0.219176539,0.106927979,-0.031433131,-0.047486368,0.002459975,0.004550817,0.284115195,0.002090841,-3.33,1.327180083,168.3846154,16.49361702,1.995258681,47,37.22520492,15.02356619,225.7075411
電子零組件,川湖,2059,0.260729307,45.17666667,43.28421053,0.625598404,0.528224456,0.582380585,0.031443431,0.153019995,0.38997405,0.121576564,24.21,5.488289029,19.0442793,224.1263158,1.24716391,9.5,1981.209016,648.7359293,420858.3059
電腦及週邊設備,光寶科,2301,0.164308512,5.92,7.574941753,0.209353562,0.093025173,0.085964098,0.05213097,0.090394079,0.788283124,0.038263109,-5.6,2.663591865,20.27831094,39.66448517,2.236955756,229.2,111.8885246,19.61951744,384.9254645
半導體,麗正,2302,0.07144126,0.776666667,1.702811245,0.371611525,0.131833945,0.165601014,0.032164064,0.05173179,0.343905674,0.019567726,1.723333333,1.630130862,24.01333333,11.04819277,1.379501385,16.6,17.82766393,1.89280723,3.582719212
