產業別,名稱,公司代號,ROE,EPS,FCF,毛利率,營業利益率,純益率,現金殖利率,高登,總資產周轉率,盈餘成長率,營收年成長率,PBR,PER,每股淨值,權益乘數,股本億元,平均價,股價標準差,股價變異數
電子零組件,台翰,1336,0.081831482,1.846666667,-0.463314463,0.172940672,0.082121196,0.058731265,0.025776771,0.079763679,0.936709145,0.053986908,8.41,0.900461775,10.71428571,24.98717949,1.541958042,7.8,21.86372951,3.305184546,10.92424488
電子零組件,首利,1471,0.001536604,-0.433333333,1.14,0.076773228,-0.419256368,-0.225396226,0,0.001521078,0.159768846,0.001521078,-5.616666667,1.461864407,373.75,10.22666667,1.108989134,15,11.71340164,1.725181301,2.976250521
電子零組件,信錦,1582,0.099039573,5.083333333,7.437109557,0.225864536,0.090039147,0.072853727,0.055106927,0.071216103,0.778800485,0.016109176,-2.376666667,1.710652551,13.54978962,56.47552448,1.669379922,14.3,84.84467213,13.60721533,185.1563089
電子零組件,川寶,1595,0.035437706,1.943333333,-0.414184397,0.269262864,0.008497092,0.045413807,0.029894333,0.042805266,0.292763746,0.016834639,-27.42,0.668172306,0,63.71111111,1.598912058,4.5,43.55286885,10.58151156,111.9683868
電子零組件,富喬,1815,0.004365631,-0.413333333,-0.219176539,0.106927979,-0.031433131,-0.047486368,0.002459975,0.004550817,0.284115195,0.002090841,-3.33,1.327180083,168.3846154,16.49361702,1.995258681,47,37.22520492,15.02356619,225.7075411
電子零組件,川湖,2059,0.260729307,45.17666667,43.28421053,0.625598404,0.528224456,0.582380585,0.031443431,0.153019995,0.38997405,0.121576564,24.21,5.488289029,19.0442793,224.1263158,1.24716391,9.5,1981.209016,648.7359293,420858.3059
電子零組件,台達電,2308,0.145447365,13,11.79484219,0.301526454,0.107666503,0.088043702,0.025851682,0.079624117,0.91043739,0.053772435,10.49666667,3.334052761,26.4579646,107.6077752,1.894782692,259.8,465.3401639,150.7935152,22738.68422
電子零組件,華通,2313,0.155260737,4.97,3.887304251,0.171038632,0.098270028,0.084356984,0.040297585,0.122227512,0.910859096,0.081929928,5.663333333,1.946592907,15.45106383,37.30620805,1.963271303,119.2,64.98647541,6.636321484,44.04076283
電子零組件,楠梓電,2316,0.082161707,3.9,2.841620626,-0.030223646,-0.135098614,0.172578631,0.014531924,0.082999332,0.288310448,0.068467408,-13.47,0.853559818,10.9135514,54.72375691,1.561255987,18.1,57.53770492,20.77230945,431.48884
電子零組件,國巨,2327,0.163574166,41.38333333,-14.39580163,0.352806847,0.2072852,0.173776197,0.032067978,0.121449213,0.399938333,0.089381235,5.193333333,1.926707966,16.16889588,319.9862205,2.333202974,50.8,477.0126582,131.1140088,17190.88331
