產業別,名稱,公司代號,ROE,EPS,FCF,毛利率,營業利益率,純益率,現金殖利率,高登,總資產周轉率,盈餘成長率,營收年成長率,PBR,PER,每股淨值,權益乘數,股本億元,平均價,股價標準差,股價變異數
電腦及週邊設備,濱川,1569,0.037068639,-0.096666667,1.468319559,0.10584319,-0.040933822,-0.013246494,0.04112286,0.040404786,0.565899503,0.013490508,-12.33,1.279669093,0,24.97520661,2.046437659,12.1,55.75020492,10.14890018,103.0001749
電腦及週邊設備,光寶科,2301,0.164308512,5.92,7.574941753,0.209353562,0.093025173,0.085964098,0.05213097,0.090394079,0.788283124,0.038263109,-5.6,2.663591865,20.27831094,39.66448517,2.236955756,229.2,111.8885246,19.61951744,384.9254645
電腦及週邊設備,全友,2305,0.006941161,0.076666667,0.518883415,0.314482055,-0.147817941,0.025336773,0,0.006850946,0.211965807,0.006850946,5.636666667,1.872101418,153.2857143,11.46305419,1.278472679,20.3,13.26803279,2.893060134,8.369796937
電腦及週邊設備,仁寶,2324,0.062310141,1.91,6.205875602,0.044078977,0.012540432,0.008240197,0.044279401,0.064142179,2.105275899,0.019862778,-9.586666667,0.994113098,15.52173913,35.91140693,3.112695729,435.7,32.74467213,4.434947295,19.66875751
電腦及週邊設備,精英,2331,0.055085888,1.076666667,1.882106523,0.124573581,0.003590061,0.020831238,0.027150371,0.049711458,0.973155854,0.025021814,-16.72666667,1.350690652,0,21.10771993,1.960772785,55.7,20.28545082,2.733830767,7.47383066
電腦及週邊設備,佳世達,2352,0.067109616,2.273333333,1.122739091,0.157032083,0.023808597,0.019844594,0.042054989,0.066440699,1.116109576,0.02438571,-3.263333333,1.165735146,35.64864865,33.94424552,3.026553218,195.5,31.28067227,4.439763789,19.7115025
電腦及週邊設備,宏碁,2353,0.068782794,1.716666667,-0.664628276,0.1069387,0.020361598,0.019273079,0.048668621,0.053259432,1.271194359,0.004590811,-5.446666667,1.597420845,24.13586957,27.80106454,2.612438382,300.6,35.34815574,3.881379877,15.06510975
電腦及週邊設備,英業達,2356,0.106850712,1.816666667,0.344484713,0.050249797,0.015031217,0.011890902,0.043439391,0.057457445,2.222104028,0.014018054,8.266666667,2.616702938,25.33004926,19.65068302,4.40286053,358.7,44.98135246,3.688617044,13.60589569
電腦及週邊設備,華碩,2357,0.080177326,27.83,20.12427097,0.154785371,0.032574353,0.039119105,0.055466379,0.071816591,1.08278328,0.016350212,3.946666667,1.276683591,12.08114502,399.9973082,1.863795893,74.3,628.1188525,43.20186864,1866.401454
電腦及週邊設備,藍天,2362,0.028886997,2.08,1.267806268,0.207092524,0.079899049,0.049481261,0.048488899,0.051212515,0.256999638,0.002723616,0.373333333,0.677910528,17.08609272,76.11623932,2.271470406,58.5,49.33360656,5.723613433,32.75975073
電腦及週邊設備,倫飛,2364,0.291258371,3.603333333,5.134408602,0.354460341,0.060096312,0.112849653,0,0.259439292,0.864023432,0.259439292,12.96333333,6.159865093,22.32762836,14.825,2.732615083,4,85.71434426,9.605965181,92.27456706
電腦及週邊設備,昆盈,2365,0.029607061,0.406666667,0.723723724,0.354476462,0.031817331,0.0963897,0.020375781,0.023262008,0.260025939,0.002886226,-7.56,2.697892047,59.453125,14.1036036,1.168374817,22.2,41.8454918,5.078438259,25.79053515
電腦及週邊設備,技嘉,2376,0.172313088,10.92666667,-6.455727308,0.127347231,0.046156316,0.048216385,0.040455817,0.090540669,2.078219309,0.050084852,36.43333333,3.427734064,19.29607452,84.60983103,2.079632317,65.1,268.3668033,20.54082767,421.9256013
電腦及週邊設備,微星,2377,0.164453547,9.583333333,8.273372781,0.129916153,0.047801856,0.043089059,0.037942081,0.104086819,2.031247964,0.066144739,-0.35,2.8266284,21.99875622,62.57278107,1.815979972,84.5,158.0594262,23.30513184,543.12917
電腦及週邊設備,虹光,2380,0,-1.33,-0.433673153,0.194977074,-0.128674005,-0.122097305,0,0,0.972948617,0,0.023333333,3.694710526,0,1.751152074,3.68956743,21.7,4.680491803,1.001075432,1.002152021
電腦及週邊設備,廣達,2382,0.221247829,11.09666667,3.145092953,0.070694675,0.036051342,0.035133628,0.059254281,0.092689931,1.616704072,0.033435651,9.323333333,4.592402282,17.7120723,59.74215305,3.825020391,385.5,272.4016393,23.38377611,546.800985
電腦及週邊設備,精元,2387,0.136110493,7.263333333,14.20207254,0.151581613,0.075463554,0.060201514,0.074083314,0.141826671,1.099634968,0.067743358,-0.64,0.983766633,7.651728553,60.74611399,1.872111356,19.3,54.17110656,8.781384351,77.11271112
電腦及週邊設備,研華,2395,0.224055081,12.31666667,9.86358355,0.397586394,0.173834369,0.158778908,0.02624463,0.078969346,0.969860785,0.052724716,1.256666667,5.90434195,33.99043062,60.15911731,1.399485125,86.1,347.6106557,26.56911263,705.9177461
電腦及週邊設備,友通,2397,0.077860717,3.743333333,5.979532164,0.248987921,0.057716585,0.035585448,0.05288995,0.058507233,0.99723504,0.005617283,-7.65,1.424951174,21.0867052,51.20175439,1.981515712,11.4,72.03155738,7.14823844,51.09731279
電腦及週邊設備,映泰,2399,0.002933892,-0.176666667,0.844569288,0.08670563,-0.035854276,-0.013649197,0,0.003003766,0.772303673,0.003003766,-9.486666667,2.099907834,640,12.19101124,1.252085264,17.8,23.76290984,6.50891185,42.36593347
電腦及週邊設備,浩鑫,2405,0.007025752,0.076666667,-0.31292517,0.40693404,-0.012746707,0.014744434,0.011745449,0.002561195,0.379980178,-0.009184254,-3.25,1.836327128,671,10.96209913,1.171522742,34.3,18.88463115,2.084076279,4.343373937
電腦及週邊設備,圓剛,2417,0.002605205,-0.05,3.512707456,0.54012894,-0.012118071,-0.002657818,0.006212692,0.00274241,0.572422216,-0.001902693,-11.20666667,1.362649819,0,31.2406015,1.398280802,13.3,42.36127049,4.566552448,20.85340126
電腦及週邊設備,隴華,2424,0,-3.966666667,-2.736371576,-0.590554495,-1.742130436,-2.435532136,0,0,0.184367586,0,191.2333333,7.816516129,0,5.535714286,2.094684385,5.6,69.4102459,16.59518057,275.400018
電腦及週邊設備,承啟,2425,0.083790788,2.016666667,4.923611111,0.091238327,0.027219646,0.031893196,0.014569967,0.075472699,1.547498372,0.060902731,-2.606666667,1.359831579,38.44761905,29.6875,1.455408676,9.6,36.5329918,3.735397862,13.95319719
電腦及週邊設備,新美齊,2442,0.060221879,1.143333333,-11.05499901,0.304090789,0.109758722,0.196797944,0.00429645,0.057976915,0.083465584,0.053680466,79.26,1.381156325,23.85833333,20.72900763,4.031309478,26.2,25.39139344,1.464380831,2.144411219
電腦及週邊設備,麗臺,2465,0,-3.703333333,-3.094453412,0.115606135,-0.050699403,-0.054668738,0,0,2.004838285,0,-19.61,14.57917808,0,6.952380952,3.498745295,8.4,66.20204918,10.73218477,115.17979
電腦及週邊設備,歐格,3002,0.005326078,0.073333333,0.022970297,0.212471219,-0.024722727,0.011232939,0.027705197,0.005923278,0.347514927,-0.02178192,1.966666667,1.030362903,303.6,14.73267327,1.335657023,10.1,14.66229508,1.326615972,1.759909937
電腦及週邊設備,神基,3005,0.154641268,5.9,7.117258782,0.283932172,0.118377519,0.106533175,0.068812291,0.092988124,0.857164973,0.024175833,5.863333333,2.54221039,15.44903581,44.11908646,1.738343758,61.3,119.4848361,15.91223795,253.1993164
